0.078,-0.367,1.0
0.078,-0.363,1.0
0.082,-0.363,1.008
0.082,-0.375,1.008
0.086,-0.375,1.016
0.09,-0.371,1.016
0.086,-0.359,1.016
0.082,-0.363,1.008
0.074,-0.367,1.004
0.066,-0.375,1.004
0.07,-0.383,1.0
0.066,-0.395,0.996
0.07,-0.402,0.988
0.074,-0.406,0.977
0.07,-0.414,0.961
0.063,-0.406,0.949
0.059,-0.398,0.938
0.043,-0.391,0.934
0.031,-0.391,0.938
0.031,-0.387,0.93
0.023,-0.391,0.93
0.012,-0.391,0.93
-0.004,-0.395,0.93
-0.02,-0.402,0.93
-0.023,-0.422,0.93
-0.023,-0.426,0.922
-0.027,-0.445,0.91
-0.043,-0.457,0.902
-0.055,-0.473,0.895
-0.063,-0.496,0.898
-0.055,-0.516,0.902
-0.055,-0.52,0.914
-0.055,-0.523,0.922
-0.039,-0.527,0.938
-0.023,-0.52,0.953
-0.012,-0.52,0.961
0.004,-0.52,0.961
0.016,-0.52,0.961
0.023,-0.508,0.957
0.043,-0.512,0.949
0.055,-0.52,0.941
0.059,-0.523,0.934
0.055,-0.523,0.93
0.055,-0.523,0.926
0.051,-0.523,0.914
0.047,-0.523,0.898
0.047,-0.527,0.879
0.051,-0.527,0.871
0.055,-0.531,0.863
0.063,-0.531,0.863
0.063,-0.535,0.855
0.059,-0.543,0.852
0.059,-0.539,0.852
0.055,-0.535,0.852
0.051,-0.531,0.852
0.043,-0.527,0.855
0.039,-0.523,0.863
0.031,-0.52,0.867
0.02,-0.523,0.871
0.02,-0.535,0.871
0.023,-0.559,0.871
0.047,-0.582,0.883
0.09,-0.574,0.91
0.105,-0.559,0.934
0.082,-0.559,0.965
0.047,-0.566,0.992
0.039,-0.586,1.008
0.039,-0.605,1.023
0.051,-0.617,1.051
0.063,-0.602,1.078
0.063,-0.57,1.105
0.055,-0.531,1.129
0.066,-0.484,1.137
0.078,-0.441,1.141
0.109,-0.418,1.117
0.129,-0.395,1.07
0.152,-0.387,1.02
0.168,-0.375,0.984
0.176,-0.367,0.961
0.172,-0.367,0.941
0.172,-0.371,0.934
0.176,-0.371,0.934
0.18,-0.379,0.934
0.18,-0.395,0.93
0.18,-0.414,0.918
0.176,-0.434,0.91
0.18,-0.441,0.906
0.172,-0.445,0.902
0.168,-0.453,0.895
0.168,-0.449,0.887
0.164,-0.453,0.871
0.156,-0.453,0.855
0.152,-0.457,0.84
0.137,-0.461,0.836
0.125,-0.461,0.828
0.113,-0.461,0.816
0.105,-0.461,0.816
0.098,-0.465,0.813
0.094,-0.477,0.805
0.086,-0.488,0.797
0.086,-0.504,0.789
0.094,-0.52,0.789
0.102,-0.527,0.797
0.113,-0.543,0.805
0.117,-0.559,0.813
0.117,-0.566,0.82
0.109,-0.574,0.82
0.102,-0.586,0.82
0.102,-0.59,0.816
0.102,-0.594,0.816
0.105,-0.594,0.816
0.113,-0.59,0.816
0.113,-0.594,0.82
0.113,-0.598,0.828
0.113,-0.613,0.828
0.121,-0.629,0.828
0.129,-0.645,0.824
0.141,-0.652,0.82
0.145,-0.645,0.824
0.148,-0.641,0.828
0.148,-0.641,0.836
0.141,-0.66,0.848
0.129,-0.676,0.855
0.113,-0.699,0.867
0.109,-0.719,0.895
0.109,-0.73,0.91
0.113,-0.742,0.926
0.102,-0.758,0.938
0.063,-0.77,0.957
0.027,-0.766,0.98
0.008,-0.758,1.012
0.02,-0.738,1.027
0.043,-0.719,1.023
0.039,-0.695,1.012
0.035,-0.656,1.0
0.031,-0.609,0.977
0.02,-0.555,0.953
-0.004,-0.504,0.926
-0.023,-0.449,0.906
-0.055,-0.41,0.883
-0.082,-0.379,0.871
-0.109,-0.367,0.867
-0.129,-0.375,0.875
-0.137,-0.402,0.895
-0.125,-0.441,0.898
-0.117,-0.461,0.906
-0.113,-0.477,0.918
-0.109,-0.484,0.922
-0.09,-0.496,0.914
-0.063,-0.508,0.91
-0.035,-0.527,0.906
-0.02,-0.535,0.902
-0.012,-0.539,0.906
-0.008,-0.539,0.91
-0.012,-0.535,0.91
0.0,-0.539,0.91
0.008,-0.543,0.906
0.012,-0.539,0.902
0.016,-0.535,0.895
0.023,-0.527,0.883
0.031,-0.531,0.852
0.043,-0.539,0.816
0.055,-0.555,0.781
0.059,-0.563,0.75
0.066,-0.574,0.723
0.07,-0.57,0.707
0.063,-0.566,0.691
0.059,-0.57,0.684
0.043,-0.586,0.68
0.016,-0.609,0.676
0.0,-0.617,0.68
-0.012,-0.625,0.691
-0.012,-0.641,0.684
-0.02,-0.668,0.684
-0.016,-0.648,0.707
-0.023,-0.637,0.723
-0.035,-0.656,0.742
-0.039,-0.699,0.762
