0.047,-0.492,0.93
0.047,-0.492,0.922
0.059,-0.496,0.906
0.078,-0.496,0.891
0.086,-0.5,0.871
0.082,-0.5,0.875
0.078,-0.5,0.887
0.078,-0.5,0.902
0.066,-0.5,0.914
0.078,-0.5,0.926
0.078,-0.5,0.926
0.086,-0.508,0.922
0.094,-0.52,0.914
0.105,-0.523,0.906
0.113,-0.539,0.902
0.109,-0.551,0.887
0.129,-0.555,0.883
0.125,-0.559,0.879
0.121,-0.563,0.879
0.121,-0.563,0.891
0.121,-0.566,0.895
0.117,-0.57,0.898
0.113,-0.563,0.895
0.109,-0.555,0.883
0.113,-0.539,0.883
0.113,-0.531,0.887
0.105,-0.531,0.879
0.098,-0.531,0.879
0.09,-0.527,0.867
0.082,-0.527,0.863
0.082,-0.527,0.859
0.07,-0.531,0.859
0.063,-0.535,0.855
0.059,-0.535,0.855
0.051,-0.543,0.852
0.039,-0.551,0.848
0.043,-0.555,0.848
0.039,-0.559,0.852
0.039,-0.563,0.859
0.039,-0.566,0.859
0.039,-0.57,0.867
0.035,-0.578,0.871
0.027,-0.582,0.871
0.023,-0.582,0.871
0.023,-0.57,0.871
0.031,-0.57,0.863
0.031,-0.566,0.859
0.027,-0.57,0.852
0.035,-0.582,0.84
0.039,-0.59,0.844
0.043,-0.598,0.848
0.031,-0.605,0.848
0.027,-0.621,0.852
0.031,-0.633,0.855
0.035,-0.645,0.863
0.047,-0.668,0.883
0.055,-0.691,0.902
0.027,-0.707,0.938
0.012,-0.695,0.98
0.035,-0.66,1.023
0.063,-0.621,1.059
0.074,-0.602,1.086
0.063,-0.59,1.109
0.055,-0.566,1.125
0.051,-0.527,1.133
0.039,-0.477,1.133
0.051,-0.43,1.109
0.043,-0.398,1.047
0.02,-0.387,0.969
-0.027,-0.383,0.914
-0.078,-0.375,0.891
-0.117,-0.379,0.883
-0.164,-0.383,0.887
-0.203,-0.391,0.898
-0.234,-0.41,0.914
-0.227,-0.438,0.926
-0.199,-0.453,0.926
-0.172,-0.469,0.918
-0.148,-0.48,0.902
-0.121,-0.488,0.891
-0.09,-0.492,0.891
-0.066,-0.492,0.891
-0.051,-0.496,0.895
-0.031,-0.484,0.906
-0.027,-0.465,0.918
-0.023,-0.449,0.922
-0.02,-0.449,0.918
-0.023,-0.457,0.914
-0.02,-0.465,0.895
-0.012,-0.469,0.875
-0.012,-0.477,0.863
-0.004,-0.488,0.848
0.004,-0.496,0.832
0.004,-0.508,0.816
0.008,-0.52,0.801
0.016,-0.543,0.801
0.012,-0.559,0.797
0.016,-0.582,0.781
0.012,-0.586,0.777
0.016,-0.59,0.777
0.0,-0.578,0.773
-0.008,-0.57,0.77
-0.012,-0.574,0.766
-0.012,-0.574,0.758
-0.023,-0.582,0.758
-0.039,-0.621,0.762
-0.059,-0.668,0.77
-0.086,-0.715,0.789
-0.09,-0.742,0.813
-0.098,-0.742,0.84
-0.102,-0.754,0.855
-0.094,-0.766,0.863
-0.082,-0.773,0.875
-0.078,-0.77,0.883
-0.066,-0.762,0.895
-0.063,-0.746,0.895
-0.027,-0.73,0.906
0.008,-0.711,0.91
