x_acc,y_acc,z_acc
-0.066,-0.469,0.93
-0.059,-0.465,0.93
-0.055,-0.473,0.926
-0.047,-0.469,0.926
-0.043,-0.465,0.926
-0.047,-0.469,0.922
-0.043,-0.469,0.926
-0.047,-0.469,0.926
-0.043,-0.465,0.93
-0.043,-0.461,0.934
-0.039,-0.465,0.945
-0.043,-0.473,0.953
-0.047,-0.473,0.957
-0.059,-0.473,0.953
-0.059,-0.473,0.957
-0.059,-0.48,0.961
-0.055,-0.488,0.957
-0.055,-0.496,0.957
-0.055,-0.484,0.957
-0.055,-0.484,0.957
-0.055,-0.477,0.949
-0.063,-0.477,0.945
-0.055,-0.48,0.957
-0.055,-0.48,0.953
-0.051,-0.473,0.957
-0.051,-0.465,0.961
-0.047,-0.457,0.965
-0.043,-0.453,0.965
-0.047,-0.453,0.969
-0.047,-0.457,0.969
-0.051,-0.457,0.973
-0.051,-0.453,0.969
-0.055,-0.457,0.969
-0.055,-0.461,0.969
-0.055,-0.465,0.961
-0.055,-0.465,0.953
-0.051,-0.465,0.953
-0.051,-0.461,0.949
-0.051,-0.461,0.941
-0.047,-0.465,0.945
-0.047,-0.461,0.938
-0.051,-0.461,0.934
-0.055,-0.461,0.93
-0.059,-0.457,0.93
-0.066,-0.461,0.93
-0.07,-0.461,0.93
-0.074,-0.461,0.922
-0.074,-0.457,0.918
-0.086,-0.461,0.918
-0.094,-0.461,0.922
-0.098,-0.469,0.918
-0.098,-0.477,0.918
-0.09,-0.488,0.922
-0.094,-0.504,0.926
-0.094,-0.508,0.934
-0.102,-0.512,0.941
-0.117,-0.508,0.945
-0.148,-0.504,0.953
-0.168,-0.496,0.957
-0.188,-0.492,0.953
-0.188,-0.492,0.949
-0.18,-0.488,0.945
-0.164,-0.484,0.938
-0.156,-0.488,0.934
-0.145,-0.492,0.922
-0.137,-0.484,0.906
-0.141,-0.48,0.91
-0.145,-0.48,0.91
-0.145,-0.484,0.906
-0.152,-0.484,0.902
-0.156,-0.492,0.898
-0.164,-0.492,0.895
-0.16,-0.496,0.898
-0.16,-0.496,0.898
-0.164,-0.496,0.891
-0.168,-0.504,0.891
-0.168,-0.504,0.883
-0.168,-0.504,0.879
-0.16,-0.504,0.875
-0.156,-0.508,0.879
-0.16,-0.512,0.883
-0.16,-0.508,0.887
-0.16,-0.508,0.887
-0.16,-0.52,0.887
-0.16,-0.527,0.891
-0.16,-0.535,0.891
-0.16,-0.547,0.895
-0.16,-0.547,0.895
-0.16,-0.547,0.898
-0.164,-0.551,0.898
-0.164,-0.551,0.895
-0.16,-0.555,0.898
-0.164,-0.551,0.898
-0.164,-0.559,0.902
-0.164,-0.559,0.902
-0.16,-0.559,0.895
-0.164,-0.563,0.887
-0.164,-0.563,0.879
-0.172,-0.563,0.879
-0.176,-0.559,0.883
-0.176,-0.555,0.883
-0.172,-0.559,0.875
-0.172,-0.547,0.867
-0.172,-0.539,0.859
-0.172,-0.531,0.863
-0.168,-0.531,0.871
-0.168,-0.531,0.871
-0.172,-0.531,0.875
-0.172,-0.527,0.871
-0.172,-0.527,0.867
-0.168,-0.523,0.863
-0.156,-0.551,0.859
-0.133,-0.586,0.875
-0.086,-0.602,0.898
-0.043,-0.605,0.926
-0.012,-0.586,0.949
-0.004,-0.566,0.98
0.0,-0.563,1.0
-0.008,-0.582,1.0
-0.023,-0.621,0.984
-0.043,-0.637,0.969
-0.078,-0.629,0.953
-0.082,-0.609,0.953
-0.09,-0.574,0.945
-0.094,-0.551,0.938
-0.086,-0.547,0.934
-0.078,-0.535,0.926
-0.059,-0.523,0.922
-0.039,-0.5,0.918
-0.027,-0.477,0.914
-0.02,-0.449,0.914
-0.008,-0.434,0.91
-0.008,-0.426,0.91
-0.008,-0.43,0.902
-0.016,-0.438,0.902
-0.02,-0.441,0.91
-0.035,-0.445,0.914
-0.047,-0.445,0.922
-0.059,-0.445,0.922
-0.063,-0.453,0.941
-0.082,-0.469,0.953
-0.09,-0.473,0.961
-0.09,-0.473,0.969
-0.078,-0.48,0.977
-0.066,-0.477,0.984
-0.07,-0.48,0.992
-0.074,-0.477,0.988
-0.078,-0.484,0.988
-0.074,-0.492,0.977
-0.07,-0.492,0.973
-0.07,-0.492,0.961
-0.063,-0.492,0.953
-0.07,-0.492,0.941
-0.066,-0.484,0.938
-0.063,-0.484,0.93
-0.059,-0.488,0.922
-0.051,-0.492,0.918
-0.043,-0.496,0.906
-0.035,-0.496,0.902
-0.035,-0.504,0.902
-0.023,-0.504,0.898
-0.016,-0.504,0.898
0.0,-0.508,0.895
0.008,-0.512,0.887
0.012,-0.523,0.875
0.012,-0.531,0.867
0.012,-0.535,0.871
0.016,-0.531,0.879
0.02,-0.523,0.879
0.016,-0.523,0.883
0.012,-0.523,0.891
-0.004,-0.527,0.891
0.008,-0.531,0.91
0.012,-0.531,0.91
0.012,-0.539,0.914
0.008,-0.559,0.914
0.0,-0.574,0.902
0.0,-0.582,0.891
0.0,-0.574,0.883
-0.004,-0.566,0.867
0.0,-0.57,0.844
-0.008,-0.59,0.828
-0.023,-0.605,0.813
-0.043,-0.629,0.805
