x_acc,y_acc,z_acc
0.184,-0.848,0.559
0.184,-0.848,0.566
0.18,-0.844,0.57
0.176,-0.84,0.574
0.176,-0.84,0.57
0.18,-0.84,0.57
0.176,-0.836,0.57
0.18,-0.836,0.566
0.18,-0.84,0.563
0.176,-0.844,0.555
0.168,-0.855,0.559
0.16,-0.855,0.563
0.164,-0.852,0.563
0.16,-0.852,0.563
0.164,-0.848,0.563
0.164,-0.852,0.559
0.16,-0.855,0.559
0.164,-0.855,0.559
0.164,-0.848,0.555
0.16,-0.848,0.555
0.145,-0.848,0.547
0.121,-0.84,0.543
0.109,-0.828,0.543
0.098,-0.824,0.543
0.086,-0.824,0.539
0.086,-0.836,0.531
0.094,-0.848,0.52
0.09,-0.863,0.527
0.078,-0.863,0.523
0.059,-0.867,0.535
0.043,-0.875,0.539
0.031,-0.879,0.539
0.02,-0.883,0.539
0.016,-0.883,0.535
0.02,-0.879,0.535
0.035,-0.875,0.527
0.059,-0.883,0.516
0.09,-0.902,0.512
0.109,-0.906,0.504
0.125,-0.91,0.504
0.125,-0.902,0.504
0.121,-0.891,0.504
0.117,-0.883,0.504
0.113,-0.891,0.496
0.098,-0.895,0.488
0.094,-0.891,0.484
0.086,-0.887,0.477
0.078,-0.875,0.48
0.078,-0.863,0.473
0.074,-0.863,0.473
0.074,-0.863,0.477
0.066,-0.863,0.473
0.059,-0.871,0.461
0.055,-0.879,0.449
0.051,-0.895,0.445
0.047,-0.91,0.441
0.051,-0.91,0.445
0.055,-0.91,0.449
0.055,-0.91,0.453
0.063,-0.91,0.449
0.066,-0.914,0.449
0.07,-0.922,0.453
0.066,-0.922,0.449
0.059,-0.926,0.457
0.055,-0.93,0.449
0.043,-0.941,0.438
0.031,-0.945,0.426
0.027,-0.949,0.418
0.016,-0.949,0.406
0.012,-0.957,0.402
-0.004,-0.961,0.402
0.004,-0.961,0.398
0.0,-0.969,0.398
-0.004,-0.984,0.395
-0.008,-1.004,0.395
-0.023,-1.023,0.383
-0.047,-1.035,0.375
-0.043,-1.047,0.379
-0.043,-1.059,0.375
-0.043,-1.066,0.379
-0.039,-1.059,0.387
-0.031,-1.047,0.395
-0.027,-1.031,0.402
-0.027,-1.02,0.398
-0.027,-1.023,0.379
-0.035,-1.031,0.355
-0.039,-1.051,0.344
-0.027,-1.066,0.344
0.004,-1.051,0.363
0.031,-1.016,0.383
0.066,-0.973,0.395
0.125,-0.91,0.418
0.18,-0.844,0.445
0.203,-0.789,0.48
0.215,-0.762,0.496
0.23,-0.789,0.504
0.227,-0.848,0.504
0.211,-0.906,0.484
0.176,-0.949,0.48
0.148,-0.957,0.5
0.137,-0.945,0.523
0.133,-0.934,0.539
0.148,-0.926,0.547
0.164,-0.93,0.543
0.16,-0.922,0.535
0.164,-0.918,0.508
0.156,-0.918,0.48
0.137,-0.914,0.453
0.125,-0.906,0.438
0.117,-0.898,0.43
0.109,-0.887,0.43
0.105,-0.875,0.434
0.094,-0.867,0.434
0.09,-0.863,0.434
0.082,-0.855,0.426
0.063,-0.855,0.41
0.051,-0.848,0.402
0.031,-0.852,0.398
0.023,-0.848,0.402
0.023,-0.848,0.406
0.039,-0.84,0.414
0.051,-0.832,0.406
0.055,-0.844,0.41
0.063,-0.859,0.402
0.074,-0.875,0.402
0.086,-0.891,0.402
0.09,-0.906,0.398
0.113,-0.914,0.41
0.117,-0.918,0.414
0.125,-0.914,0.426
0.133,-0.914,0.422
0.145,-0.906,0.422
0.148,-0.906,0.414
0.156,-0.914,0.41
0.164,-0.926,0.406
0.184,-0.938,0.398
0.191,-0.945,0.395
0.199,-0.953,0.391
0.207,-0.957,0.395
0.211,-0.965,0.395
0.219,-0.961,0.402
0.23,-0.965,0.406
0.23,-0.965,0.41
0.223,-0.969,0.414
0.211,-0.977,0.406
0.195,-0.996,0.391
0.188,-1.008,0.371
0.168,-1.016,0.355
0.152,-1.012,0.34
0.145,-0.996,0.332
0.137,-0.98,0.328
0.129,-0.965,0.32
0.129,-0.949,0.316
0.125,-0.945,0.309
0.117,-0.949,0.309
0.113,-0.953,0.316
0.082,-0.977,0.313
0.063,-0.984,0.309
0.047,-0.977,0.297
0.012,-0.992,0.281
-0.016,-0.992,0.277
-0.047,-0.957,0.309
-0.063,-0.926,0.367
-0.063,-0.883,0.426
-0.07,-0.852,0.469
-0.07,-0.832,0.492
-0.07,-0.836,0.492
-0.078,-0.848,0.469
-0.094,-0.867,0.438
-0.102,-0.895,0.414
-0.105,-0.914,0.391
-0.094,-0.918,0.379
-0.074,-0.918,0.383
-0.063,-0.926,0.383
-0.063,-0.93,0.383
-0.055,-0.953,0.391
-0.055,-0.977,0.402
-0.031,-1.004,0.426
-0.02,-0.996,0.441
-0.008,-0.988,0.453
0.012,-0.98,0.461
0.047,-0.973,0.461
0.078,-0.965,0.453
0.094,-0.957,0.441
0.102,-0.953,0.426
0.121,-0.949,0.402
0.133,-0.938,0.375
0.133,-0.926,0.371
0.121,-0.918,0.367
0.098,-0.91,0.363
0.078,-0.902,0.355
0.082,-0.898,0.34
0.09,-0.898,0.332
0.094,-0.895,0.336
0.102,-0.898,0.336
0.082,-0.91,0.332
0.059,-0.926,0.328
0.035,-0.941,0.324
0.012,-0.957,0.328
0.0,-0.973,0.332
0.004,-0.969,0.34
0.004,-0.957,0.348
-0.004,-0.953,0.344
