0.012,-0.672,0.762
0.012,-0.668,0.762
0.012,-0.668,0.77
0.008,-0.664,0.773
0.0,-0.66,0.766
0.004,-0.66,0.766
0.008,-0.66,0.762
0.004,-0.664,0.762
0.004,-0.668,0.762
0.004,-0.676,0.758
0.004,-0.68,0.754
0.0,-0.688,0.75
0.0,-0.688,0.742
0.004,-0.695,0.73
0.0,-0.703,0.723
0.0,-0.738,0.703
0.0,-0.777,0.68
0.008,-0.793,0.66
0.012,-0.801,0.645
0.012,-0.801,0.656
0.016,-0.781,0.668
0.016,-0.77,0.691
0.012,-0.754,0.711
0.012,-0.715,0.742
0.012,-0.688,0.766
0.012,-0.66,0.777
0.008,-0.656,0.781
0.004,-0.648,0.785
0.0,-0.652,0.777
0.0,-0.656,0.766
0.0,-0.656,0.758
0.004,-0.656,0.746
0.004,-0.652,0.734
0.0,-0.652,0.742
0.0,-0.652,0.746
0.0,-0.656,0.754
0.0,-0.648,0.762
0.004,-0.652,0.77
0.0,-0.645,0.773
0.0,-0.648,0.777
0.0,-0.645,0.777
0.0,-0.648,0.777
0.004,-0.652,0.777
0.008,-0.66,0.77
0.008,-0.656,0.766
0.004,-0.645,0.762
0.0,-0.641,0.762
0.0,-0.641,0.758
-0.008,-0.641,0.754
-0.016,-0.645,0.754
-0.016,-0.656,0.758
-0.023,-0.664,0.762
-0.027,-0.668,0.762
-0.035,-0.676,0.758
-0.047,-0.688,0.75
-0.043,-0.695,0.746
-0.051,-0.703,0.723
-0.043,-0.715,0.703
-0.035,-0.723,0.68
-0.023,-0.719,0.656
-0.008,-0.707,0.645
0.012,-0.699,0.645
0.031,-0.711,0.652
0.051,-0.738,0.676
0.066,-0.762,0.695
0.082,-0.785,0.715
0.086,-0.781,0.738
0.09,-0.762,0.762
0.094,-0.738,0.777
0.102,-0.723,0.793
0.105,-0.719,0.809
0.105,-0.73,0.813
0.102,-0.73,0.805
0.094,-0.715,0.797
0.078,-0.707,0.781
0.07,-0.695,0.77
0.063,-0.688,0.754
0.063,-0.68,0.742
0.063,-0.672,0.734
0.063,-0.668,0.73
0.059,-0.66,0.727
0.063,-0.652,0.723
0.066,-0.641,0.727
0.078,-0.629,0.727
0.086,-0.613,0.734
0.098,-0.594,0.734
0.105,-0.59,0.742
0.113,-0.594,0.754
0.113,-0.598,0.758
0.121,-0.594,0.766
0.117,-0.59,0.781
0.117,-0.582,0.781
0.113,-0.574,0.781
0.109,-0.574,0.777
0.105,-0.57,0.766
0.109,-0.57,0.762
0.117,-0.566,0.754
0.117,-0.574,0.75
0.113,-0.578,0.754
0.125,-0.594,0.758
0.129,-0.598,0.758
0.129,-0.598,0.762
0.129,-0.598,0.754
0.125,-0.594,0.758
0.113,-0.598,0.762
0.117,-0.613,0.762
0.121,-0.629,0.758
0.121,-0.641,0.762
0.121,-0.652,0.766
0.121,-0.66,0.773
0.117,-0.668,0.773
0.117,-0.672,0.785
0.117,-0.684,0.789
0.117,-0.684,0.801
0.121,-0.695,0.805
0.121,-0.695,0.813
0.129,-0.688,0.816
0.125,-0.676,0.844
0.133,-0.703,0.879
0.113,-0.781,0.887
0.055,-0.836,0.887
0.008,-0.797,0.902
0.0,-0.738,0.93
0.004,-0.719,0.957
-0.004,-0.75,0.961
-0.043,-0.781,0.953
-0.082,-0.758,0.938
-0.102,-0.703,0.93
-0.102,-0.648,0.914
-0.09,-0.605,0.898
-0.082,-0.57,0.867
-0.07,-0.547,0.836
-0.066,-0.535,0.801
-0.066,-0.543,0.777
-0.066,-0.574,0.766
-0.066,-0.609,0.75
-0.074,-0.633,0.754
-0.078,-0.641,0.762
-0.086,-0.645,0.781
-0.09,-0.648,0.789
-0.094,-0.648,0.801
-0.102,-0.637,0.809
-0.105,-0.625,0.813
-0.105,-0.602,0.816
-0.105,-0.582,0.82
-0.102,-0.578,0.816
-0.102,-0.582,0.797
-0.094,-0.59,0.77
-0.094,-0.574,0.75
-0.094,-0.555,0.73
-0.094,-0.543,0.715
-0.098,-0.539,0.707
-0.102,-0.551,0.699
-0.102,-0.563,0.699
-0.113,-0.574,0.699
-0.117,-0.59,0.707
-0.117,-0.598,0.703
-0.109,-0.598,0.703
-0.109,-0.598,0.715
-0.105,-0.598,0.715
-0.102,-0.598,0.727
-0.098,-0.598,0.73
-0.098,-0.602,0.73
-0.094,-0.602,0.738
-0.094,-0.605,0.73
-0.09,-0.609,0.727
-0.09,-0.602,0.719
-0.086,-0.602,0.715
-0.082,-0.609,0.707
-0.086,-0.613,0.699
-0.094,-0.613,0.688
-0.094,-0.609,0.684
-0.094,-0.605,0.688
-0.098,-0.621,0.695
-0.098,-0.641,0.703
-0.098,-0.652,0.707
-0.094,-0.668,0.723
-0.094,-0.676,0.734
-0.09,-0.699,0.746
-0.098,-0.715,0.754
-0.105,-0.727,0.758
-0.105,-0.734,0.762
-0.098,-0.746,0.766
-0.09,-0.77,0.777
-0.082,-0.777,0.785
-0.078,-0.789,0.805
-0.078,-0.805,0.828
-0.074,-0.84,0.871
-0.055,-0.895,0.918
-0.031,-0.945,0.965
0.008,-0.965,1.023
0.051,-0.965,1.078
0.09,-0.953,1.09
0.113,-0.922,1.063
0.117,-0.844,1.023
0.109,-0.762,0.969
0.102,-0.695,0.902
0.098,-0.652,0.836
0.082,-0.633,0.781
0.078,-0.645,0.734
0.07,-0.66,0.699
0.07,-0.66,0.672
0.066,-0.66,0.668
0.063,-0.656,0.676
0.055,-0.652,0.691
0.063,-0.645,0.719
0.066,-0.617,0.73
0.078,-0.59,0.754
0.086,-0.566,0.781
0.09,-0.547,0.793
0.09,-0.531,0.797
0.102,-0.516,0.797
0.098,-0.512,0.789
0.094,-0.508,0.773
0.09,-0.516,0.75
0.082,-0.523,0.73
0.09,-0.535,0.707
0.09,-0.543,0.695
0.102,-0.551,0.68
